vehicle_number,total_violations,unique_clusters,unique_hotspots,first_seen,last_seen,dominant_vehicle_type,chronic_offender_flag
FKN00GL17863,26,1,1,2023-11-13 08:41:46+05:30,2024-01-20 09:56:46+05:30,CAR,1
FKN00GL9771,23,2,2,2023-11-10 05:21:46+05:30,2024-03-16 01:28:46+05:30,CAR,1
FKN00GL15265,23,1,2,2023-11-12 09:54:46+05:30,2024-01-25 10:08:46+05:30,MOTOR CYCLE,1
FKN00GL17388,18,4,3,2023-11-15 05:05:46+05:30,2024-01-20 07:46:46+05:30,SCOOTER,1
FKN00GL1118,17,2,2,2023-11-19 05:40:46+05:30,2024-03-15 06:01:46+05:30,CAR,1
FKN00GL1875,17,2,1,2023-11-18 08:16:46+05:30,2024-03-15 10:54:46+05:30,MOTOR CYCLE,1
FKN00GL25480,17,1,2,2023-11-16 02:05:46+05:30,2024-01-21 09:48:46+05:30,SCOOTER,1
FKN00GL2819,16,5,1,2023-12-08 04:34:46+05:30,2024-02-01 08:06:46+05:30,SCOOTER,1
FKN00GL18794,16,1,2,2023-11-13 04:17:46+05:30,2024-01-20 04:19:46+05:30,CAR,1
FKN00GL104980,15,4,2,2023-11-14 12:34:46+05:30,2024-01-06 04:13:46+05:30,SCOOTER,1
FKN00GL7998,15,4,1,2023-11-14 02:19:46+05:30,2024-03-15 04:06:46+05:30,CAR,1
FKN00GL12905,15,3,1,2023-12-02 07:16:46+05:30,2024-01-16 02:51:46+05:30,MAXI-CAB,1
FKN00GL3514,15,2,1,2023-11-11 14:24:46+05:30,2024-03-14 15:17:46+05:30,PASSENGER AUTO,1
FKN00GL111727,15,1,1,2023-11-14 11:10:46+05:30,2024-01-01 09:44:46+05:30,MOTOR CYCLE,1
FKN00GL6353,14,4,1,2023-11-14 12:30:46+05:30,2024-02-01 08:06:46+05:30,SCOOTER,1
FKN00GL9990,14,4,2,2023-11-14 06:26:46+05:30,2024-01-30 04:10:46+05:30,SCOOTER,1
FKN00GL11705,14,3,1,2023-11-14 06:30:46+05:30,2024-01-25 03:34:46+05:30,SCOOTER,1
FKN00GL22956,14,3,2,2023-11-16 01:59:46+05:30,2024-01-19 02:18:46+05:30,SCOOTER,1
FKN00GL0930,14,2,1,2023-11-11 04:43:46+05:30,2024-01-15 08:17:46+05:30,PASSENGER AUTO,1
FKN00GL14092,13,4,1,2023-11-16 05:32:46+05:30,2024-01-19 04:24:46+05:30,SCOOTER,1
FKN00GL2996,13,4,2,2023-11-22 03:55:46+05:30,2024-01-30 04:01:46+05:30,SCOOTER,1
FKN00GL0889,13,3,1,2023-12-16 05:58:46+05:30,2024-03-16 03:53:46+05:30,SCOOTER,1
FKN00GL6946,13,3,2,2023-11-14 06:27:46+05:30,2024-01-25 03:24:46+05:30,SCOOTER,1
FKN00GL11475,13,2,1,2023-11-11 03:09:46+05:30,2024-03-11 04:57:46+05:30,CAR,1
FKN00GL6860,13,2,1,2023-11-16 04:04:46+05:30,2024-03-16 01:29:46+05:30,CAR,1
FKN00GL9182,13,2,2,2023-11-17 05:59:46+05:30,2024-03-10 10:14:46+05:30,SCOOTER,1
FKN00GL0734,13,1,1,2023-11-16 06:32:46+05:30,2023-12-29 05:03:46+05:30,CAR,1
FKN00GL10831,13,1,1,2023-11-17 07:16:46+05:30,2024-01-27 05:48:46+05:30,SCOOTER,1
FKN00GL32407,13,1,1,2023-11-11 06:21:46+05:30,2024-01-19 07:25:46+05:30,CAR,1
FKN00GL6355,12,7,1,2023-11-17 08:19:46+05:30,2024-03-15 06:20:46+05:30,MOTOR CYCLE,1
FKN00GL1199,12,6,1,2023-11-14 12:33:46+05:30,2024-03-15 06:19:46+05:30,MOTOR CYCLE,1
FKN00GL0635,12,5,1,2023-12-16 10:44:46+05:30,2024-03-15 05:24:46+05:30,SCOOTER,1
FKN00GL1048,12,5,1,2023-12-01 03:24:46+05:30,2024-03-15 05:32:46+05:30,SCOOTER,1
FKN00GL9526,12,5,1,2023-12-20 04:38:46+05:30,2024-02-01 05:00:46+05:30,SCOOTER,1
FKN00GL101845,12,4,1,2023-11-14 10:16:46+05:30,2023-12-30 08:34:46+05:30,SCOOTER,1
FKN00GL2993,12,4,1,2023-11-16 02:01:46+05:30,2024-01-30 04:02:46+05:30,SCOOTER,1
FKN00GL0420,12,3,1,2023-11-15 08:54:46+05:30,2024-03-13 05:04:46+05:30,SCOOTER,1
FKN00GL0333,12,1,1,2023-11-11 10:38:46+05:30,2023-12-31 07:40:46+05:30,SCOOTER,1
FKN00GL113054,12,1,1,2023-11-15 05:53:46+05:30,2023-11-22 11:52:46+05:30,MOTOR CYCLE,1
FKN00GL1175,12,1,1,2023-11-11 02:32:46+05:30,2024-01-16 10:05:46+05:30,CAR,1
FKN00GL18450,12,1,2,2023-11-15 09:24:46+05:30,2024-01-13 05:42:46+05:30,SCOOTER,1
FKN00GL19357,12,1,1,2023-11-11 03:17:46+05:30,2024-01-31 02:03:46+05:30,CAR,1
FKN00GL53263,12,1,1,2023-11-15 00:57:46+05:30,2024-01-21 00:59:46+05:30,CAR,1
FKN00GL58024,12,1,1,2023-11-15 05:54:46+05:30,2023-12-14 09:45:46+05:30,SCOOTER,1
FKN00GL6780,12,1,1,2023-12-12 04:57:46+05:30,2024-01-16 05:37:46+05:30,CAR,1
FKN00GL94778,12,1,1,2023-11-17 05:19:46+05:30,2023-12-25 08:36:46+05:30,SCOOTER,1
FKN00GL9334,11,7,1,2023-11-21 05:54:46+05:30,2024-02-01 08:07:46+05:30,SCOOTER,1
FKN00GL4424,11,4,1,2023-11-19 11:24:46+05:30,2024-01-31 12:43:46+05:30,SCOOTER,1
FKN00GL0088,11,3,1,2023-11-15 03:36:46+05:30,2024-01-30 04:20:46+05:30,SCOOTER,1
FKN00GL0395,11,2,1,2023-11-16 03:58:46+05:30,2024-03-11 05:51:46+05:30,SCOOTER,1
FKN00GL2850,11,2,1,2023-11-17 09:58:46+05:30,2024-02-01 08:31:46+05:30,MOTOR CYCLE,1
FKN00GL2863,11,2,1,2023-12-07 04:33:46+05:30,2024-02-01 08:40:46+05:30,SCOOTER,1
FKN00GL6855,11,2,1,2023-12-07 08:54:46+05:30,2024-01-25 07:46:46+05:30,SCOOTER,1
FKN00GL8361,11,2,2,2023-12-03 06:29:46+05:30,2024-03-18 08:25:46+05:30,SCOOTER,1
FKN00GL11015,11,1,1,2023-11-17 07:22:46+05:30,2024-01-27 02:33:46+05:30,SCOOTER,1
FKN00GL113789,11,1,1,2023-11-11 11:50:46+05:30,2024-01-14 11:04:46+05:30,MOTOR CYCLE,1
FKN00GL122435,11,1,1,2023-11-11 11:49:46+05:30,2024-01-01 08:32:46+05:30,SCOOTER,1
FKN00GL123587,11,1,1,2023-11-11 08:40:46+05:30,2024-01-01 08:29:46+05:30,SCOOTER,1
FKN00GL2317,11,1,1,2023-11-13 02:50:46+05:30,2024-01-17 08:20:46+05:30,CAR,1
FKN00GL27365,11,1,1,2023-11-10 08:34:46+05:30,2024-01-02 10:56:46+05:30,CAR,1
FKN00GL60534,11,1,2,2023-11-11 09:50:46+05:30,2024-01-04 07:41:46+05:30,SCOOTER,1
FKN00GL8564,11,1,1,2023-11-16 11:16:46+05:30,2024-01-25 10:55:46+05:30,SCOOTER,1
FKN00GL120338,10,5,2,2023-11-11 10:01:46+05:30,2024-01-16 10:27:46+05:30,MOTOR CYCLE,1
FKN00GL17806,10,5,1,2023-11-18 04:27:46+05:30,2024-01-12 10:00:46+05:30,SCOOTER,1
FKN00GL115574,10,3,1,2023-12-03 03:08:46+05:30,2024-01-06 02:05:46+05:30,CAR,1
FKN00GL18558,10,3,1,2023-12-02 11:30:46+05:30,2024-01-18 11:27:46+05:30,SCOOTER,1
FKN00GL76628,10,3,1,2023-11-23 04:18:46+05:30,2024-01-30 05:07:46+05:30,SCOOTER,1
FKN00GL16589,10,2,2,2023-12-07 08:54:46+05:30,2024-01-18 05:12:46+05:30,SCOOTER,1
FKN00GL1880,10,2,1,2023-11-14 06:31:46+05:30,2024-03-15 10:54:46+05:30,SCOOTER,1
FKN00GL23218,10,2,1,2023-12-07 07:49:46+05:30,2024-01-17 09:27:46+05:30,MOTOR CYCLE,1
FKN00GL32387,10,2,1,2023-11-12 08:34:46+05:30,2024-03-11 11:01:46+05:30,CAR,1
FKN00GL50547,10,2,1,2023-11-22 01:07:46+05:30,2024-03-12 08:49:46+05:30,VAN,1
FKN00GL5111,10,2,1,2023-11-10 04:20:46+05:30,2024-03-12 05:28:46+05:30,SCOOTER,1
FKN00GL54261,10,2,1,2023-12-09 06:08:46+05:30,2024-01-19 05:18:46+05:30,SCOOTER,1
FKN00GL76754,10,2,2,2023-11-15 03:34:46+05:30,2024-01-06 03:36:46+05:30,MOTOR CYCLE,1
FKN00GL100448,10,1,1,2023-11-22 07:49:46+05:30,2024-01-11 06:30:46+05:30,LGV,1
FKN00GL114057,10,1,2,2023-11-11 12:11:46+05:30,2023-12-07 08:29:46+05:30,CAR,1
FKN00GL11463,10,1,1,2023-12-16 06:30:46+05:30,2024-01-25 10:24:46+05:30,SCOOTER,1
FKN00GL17172,10,1,1,2023-11-12 08:54:46+05:30,2024-01-13 07:20:46+05:30,MOTOR CYCLE,1
FKN00GL51416,10,1,1,2023-12-23 05:16:46+05:30,2024-01-27 10:13:46+05:30,CAR,1
FKN00GL56080,10,1,1,2023-11-23 07:04:46+05:30,2024-01-28 04:50:46+05:30,SCOOTER,1
FKN00GL60902,10,1,1,2023-11-15 10:15:46+05:30,2024-01-21 08:10:46+05:30,SCOOTER,1
FKN00GL149326,9,5,3,2023-11-27 09:04:46+05:30,2024-03-11 04:16:46+05:30,MAXI-CAB,1
FKN00GL4303,9,5,1,2023-11-16 06:01:46+05:30,2024-03-15 05:48:46+05:30,SCOOTER,1
FKN00GL21004,9,4,1,2023-11-11 10:01:46+05:30,2024-03-16 10:35:46+05:30,SCOOTER,1
FKN00GL11617,9,3,2,2023-11-18 02:40:46+05:30,2024-01-25 05:14:46+05:30,SCOOTER,1
FKN00GL2378,9,3,2,2023-11-15 02:48:46+05:30,2024-01-20 07:49:46+05:30,MOTOR CYCLE,1
FKN00GL6089,9,3,2,2023-11-14 06:30:46+05:30,2024-01-20 07:46:46+05:30,SCOOTER,1
FKN00GL6945,9,3,3,2023-11-14 06:28:46+05:30,2024-01-20 07:02:46+05:30,SCOOTER,1
FKN00GL10449,9,2,2,2023-12-08 01:27:46+05:30,2024-03-12 01:12:46+05:30,CAR,1
FKN00GL111010,9,2,2,2023-11-16 09:43:46+05:30,2023-12-24 08:21:46+05:30,SCOOTER,1
FKN00GL14474,9,2,1,2023-11-22 07:15:46+05:30,2024-01-25 07:46:46+05:30,SCOOTER,1
FKN00GL20898,9,2,2,2023-11-17 01:25:46+05:30,2024-03-14 10:06:46+05:30,SCOOTER,1
FKN00GL23020,9,2,3,2023-11-25 03:05:46+05:30,2024-01-06 04:34:46+05:30,SCOOTER,1
FKN00GL23215,9,2,2,2023-11-15 02:32:46+05:30,2024-03-11 09:46:46+05:30,SCOOTER,1
FKN00GL33465,9,2,1,2023-11-11 03:06:46+05:30,2024-03-11 09:37:46+05:30,SCOOTER,1
FKN00GL4211,9,2,1,2023-12-09 01:48:46+05:30,2024-01-16 09:55:46+05:30,SCOOTER,1
FKN00GL4341,9,2,1,2023-12-06 08:00:46+05:30,2024-03-14 06:28:46+05:30,MOTOR CYCLE,1
FKN00GL44151,9,2,1,2023-11-11 09:26:46+05:30,2024-03-11 05:14:46+05:30,MOTOR CYCLE,1
FKN00GL53686,9,2,1,2023-11-20 06:11:46+05:30,2023-12-11 10:08:46+05:30,CAR,1
FKN00GL7910,9,2,1,2023-11-12 05:48:46+05:30,2024-03-12 03:59:46+05:30,SCOOTER,1
FKN00GL0085,9,1,1,2023-11-11 11:41:46+05:30,2024-01-22 07:25:46+05:30,SCOOTER,1
FKN00GL0744,9,1,1,2023-11-15 06:27:46+05:30,2024-01-12 11:52:46+05:30,SCOOTER,1
FKN00GL111835,9,1,1,2023-11-13 07:06:46+05:30,2024-01-14 11:20:46+05:30,SCOOTER,1
FKN00GL11577,9,1,1,2023-11-12 09:31:46+05:30,2024-01-25 06:51:46+05:30,SCOOTER,1
FKN00GL119670,9,1,2,2023-11-13 09:28:46+05:30,2024-01-14 08:55:46+05:30,CAR,1
FKN00GL122867,9,1,1,2023-11-12 08:42:46+05:30,2024-01-01 08:41:46+05:30,SCOOTER,1
FKN00GL138267,9,1,1,2023-11-15 05:53:46+05:30,2023-12-12 06:03:46+05:30,SCOOTER,1
FKN00GL13920,9,1,1,2023-11-11 14:49:46+05:30,2024-01-29 12:27:46+05:30,SCOOTER,1
FKN00GL15995,9,1,1,2023-11-26 09:02:46+05:30,2024-01-22 10:12:46+05:30,MOTOR CYCLE,1
FKN00GL17285,9,1,1,2024-01-05 05:28:46+05:30,2024-01-19 03:54:46+05:30,SCOOTER,1
FKN00GL17572,9,1,2,2023-12-13 05:36:46+05:30,2024-01-19 10:52:46+05:30,CAR,1
FKN00GL19014,9,1,2,2023-11-11 03:06:46+05:30,2024-01-16 10:09:46+05:30,CAR,1
FKN00GL32527,9,1,1,2023-11-12 09:18:46+05:30,2024-01-14 09:55:46+05:30,MOTOR CYCLE,1
FKN00GL32651,9,1,1,2023-11-12 08:28:46+05:30,2023-12-21 08:22:46+05:30,SCOOTER,1
FKN00GL4107,9,1,1,2023-11-28 10:13:46+05:30,2024-02-01 11:37:46+05:30,CAR,1
FKN00GL6108,9,1,1,2023-11-14 05:45:46+05:30,2024-01-31 06:16:46+05:30,SCOOTER,1
FKN00GL61150,9,1,3,2023-12-14 09:27:46+05:30,2024-01-22 07:10:46+05:30,SCOOTER,1
FKN00GL6306,9,1,1,2023-11-11 10:41:46+05:30,2023-12-19 07:58:46+05:30,SCOOTER,1
FKN00GL73104,9,1,2,2023-11-18 01:36:46+05:30,2024-01-31 02:07:46+05:30,CAR,1
FKN00GL7760,9,1,2,2023-11-11 14:24:46+05:30,2024-01-27 10:14:46+05:30,PASSENGER AUTO,1
FKN00GL7916,9,1,2,2023-11-11 09:59:46+05:30,2024-01-27 06:36:46+05:30,SCOOTER,1
FKN00GL8211,9,1,2,2023-11-10 08:54:46+05:30,2024-01-18 08:08:46+05:30,SCOOTER,1
FKN00GL89378,9,1,1,2023-11-12 08:27:46+05:30,2024-01-02 10:27:46+05:30,MOTOR CYCLE,1
FKN00GL14137,8,6,1,2023-11-15 08:19:46+05:30,2024-01-24 10:10:46+05:30,SCOOTER,1
FKN00GL37439,8,5,1,2023-11-17 08:26:46+05:30,2024-01-30 09:30:46+05:30,MOTOR CYCLE,1
FKN00GL112240,8,4,1,2023-11-15 06:52:46+05:30,2024-03-13 09:58:46+05:30,SCOOTER,1
FKN00GL19099,8,4,2,2023-11-14 06:28:46+05:30,2024-01-30 04:21:46+05:30,SCOOTER,1
FKN00GL3083,8,4,2,2023-12-19 08:40:46+05:30,2024-01-30 04:28:46+05:30,SCOOTER,1
FKN00GL57836,8,4,1,2023-12-17 05:48:46+05:30,2024-01-21 06:01:46+05:30,SCOOTER,1
FKN00GL6175,8,4,1,2023-11-12 09:46:46+05:30,2024-01-24 10:25:46+05:30,SCOOTER,1
FKN00GL102161,8,3,1,2023-11-14 06:27:46+05:30,2024-01-21 04:59:46+05:30,SCOOTER,1
FKN00GL1053,8,3,1,2023-12-15 02:51:46+05:30,2024-03-15 06:17:46+05:30,MOTOR CYCLE,1
FKN00GL11028,8,3,1,2023-11-19 03:35:46+05:30,2024-02-01 10:22:46+05:30,SCOOTER,1
FKN00GL111071,8,3,2,2023-12-02 11:30:46+05:30,2024-01-05 08:12:46+05:30,MOTOR CYCLE,1
FKN00GL114087,8,3,2,2023-11-21 00:55:46+05:30,2023-12-14 05:47:46+05:30,MAXI-CAB,1
FKN00GL119791,8,3,2,2023-11-11 10:01:46+05:30,2023-12-27 10:33:46+05:30,SCOOTER,1
FKN00GL12904,8,3,1,2023-12-03 05:00:46+05:30,2024-01-16 05:03:46+05:30,CAR,1
FKN00GL14755,8,3,2,2023-12-01 09:50:46+05:30,2024-01-24 03:21:46+05:30,SCOOTER,1
FKN00GL16342,8,3,1,2023-12-13 07:45:46+05:30,2024-01-21 05:56:46+05:30,SCOOTER,1
FKN00GL17374,8,3,1,2024-01-02 08:36:46+05:30,2024-01-30 09:29:46+05:30,SCOOTER,1
FKN00GL17389,8,3,2,2023-11-22 03:54:46+05:30,2024-01-13 04:02:46+05:30,SCOOTER,1
FKN00GL19006,8,3,1,2023-11-22 06:09:46+05:30,2024-03-12 08:31:46+05:30,MOTOR CYCLE,1
FKN00GL23209,8,3,2,2023-11-25 03:06:46+05:30,2024-01-17 01:39:46+05:30,SCOOTER,1
FKN00GL7697,8,3,1,2023-11-17 08:19:46+05:30,2024-01-04 06:18:46+05:30,MOTOR CYCLE,1
FKN00GL9032,8,3,1,2023-12-14 07:48:46+05:30,2024-03-14 06:18:46+05:30,SCOOTER,1
FKN00GL102806,8,2,2,2023-11-14 06:27:46+05:30,2023-12-19 07:56:46+05:30,MOTOR CYCLE,1
FKN00GL11444,8,2,2,2023-11-19 04:49:46+05:30,2024-01-25 05:25:46+05:30,CAR,1
FKN00GL125192,8,2,1,2023-11-15 02:48:46+05:30,2024-01-03 04:36:46+05:30,SCOOTER,1
FKN00GL134975,8,2,3,2023-11-16 05:22:46+05:30,2024-01-06 09:21:46+05:30,SCOOTER,1
FKN00GL14388,8,2,1,2023-11-23 05:17:46+05:30,2024-03-16 11:09:46+05:30,SCOOTER,1
FKN00GL4464,8,2,1,2023-11-11 02:22:46+05:30,2024-03-15 01:38:46+05:30,CAR,1
FKN00GL61648,8,2,3,2023-12-31 01:03:46+05:30,2024-03-13 09:30:46+05:30,CAR,1
FKN00GL111116,8,1,1,2023-11-17 09:51:46+05:30,2023-12-21 09:36:46+05:30,SCOOTER,1
FKN00GL111770,8,1,1,2023-11-15 09:24:46+05:30,2023-12-14 11:09:46+05:30,SCOOTER,1
FKN00GL118484,8,1,1,2023-11-14 08:29:46+05:30,2023-11-23 08:09:46+05:30,SCOOTER,1
FKN00GL122701,8,1,1,2023-11-11 10:05:46+05:30,2023-11-27 11:43:46+05:30,CAR,1
FKN00GL123430,8,1,1,2023-11-12 08:22:46+05:30,2023-11-21 09:19:46+05:30,SCOOTER,1
FKN00GL124046,8,1,2,2023-11-12 11:15:46+05:30,2023-12-31 10:00:46+05:30,SCOOTER,1
FKN00GL12732,8,1,1,2023-11-12 10:26:46+05:30,2024-01-22 11:05:46+05:30,PASSENGER AUTO,1
FKN00GL14433,8,1,3,2023-12-09 08:15:46+05:30,2024-01-24 07:59:46+05:30,MOTOR CYCLE,1
FKN00GL14734,8,1,1,2023-11-17 11:23:46+05:30,2024-01-05 07:57:46+05:30,SCOOTER,1
FKN00GL149662,8,1,1,2023-11-29 10:45:46+05:30,2023-12-28 11:35:46+05:30,SCOOTER,1
FKN00GL15235,8,1,1,2023-11-11 09:54:46+05:30,2024-01-23 07:18:46+05:30,CAR,1
FKN00GL15753,8,1,1,2023-11-11 09:42:46+05:30,2024-01-20 09:39:46+05:30,PASSENGER AUTO,1
FKN00GL159047,8,1,2,2023-12-19 08:53:46+05:30,2024-01-15 10:07:46+05:30,SCOOTER,1
FKN00GL1641,8,1,1,2023-12-01 10:57:46+05:30,2024-01-17 03:07:46+05:30,SCOOTER,1
FKN00GL17669,8,1,1,2023-12-08 09:25:46+05:30,2024-01-22 07:07:46+05:30,SCOOTER,1
FKN00GL17716,8,1,1,2023-11-11 07:02:46+05:30,2024-01-21 08:04:46+05:30,PASSENGER AUTO,1
FKN00GL23892,8,1,1,2023-11-17 07:04:46+05:30,2023-12-12 06:09:46+05:30,MOTOR CYCLE,1
FKN00GL24113,8,1,1,2023-11-28 09:07:46+05:30,2024-01-11 07:12:46+05:30,SCOOTER,1
FKN00GL2814,8,1,1,2023-11-11 08:42:46+05:30,2024-02-01 08:09:46+05:30,SCOOTER,1
FKN00GL2817,8,1,1,2023-11-14 08:12:46+05:30,2024-02-01 11:37:46+05:30,MOTOR CYCLE,1
FKN00GL30840,8,1,2,2023-11-17 05:51:46+05:30,2024-01-14 11:04:46+05:30,MOTOR CYCLE,1
FKN00GL32683,8,1,1,2023-11-11 08:43:46+05:30,2024-01-14 11:21:46+05:30,SCOOTER,1
FKN00GL35922,8,1,1,2023-11-17 06:51:46+05:30,2024-01-20 13:47:46+05:30,PASSENGER AUTO,1
FKN00GL3761,8,1,1,2023-11-11 11:43:46+05:30,2024-02-01 11:31:46+05:30,SCOOTER,1
FKN00GL45098,8,1,1,2023-11-18 11:03:46+05:30,2024-01-07 10:57:46+05:30,PASSENGER AUTO,1
FKN00GL45914,8,1,2,2023-11-29 01:32:46+05:30,2024-02-01 01:35:46+05:30,CAR,1
FKN00GL49799,8,1,1,2023-11-12 08:22:46+05:30,2024-01-18 13:04:46+05:30,SCOOTER,1
FKN00GL50347,8,1,1,2023-11-11 05:42:46+05:30,2024-01-25 06:19:46+05:30,SCOOTER,1
FKN00GL6310,8,1,1,2023-11-15 10:19:46+05:30,2024-01-25 11:13:46+05:30,MOTOR CYCLE,1
FKN00GL7795,8,1,2,2023-11-12 11:15:46+05:30,2023-12-24 10:42:46+05:30,MOPED,1
FKN00GL80784,8,1,1,2023-11-17 03:15:46+05:30,2023-12-15 11:56:46+05:30,SCOOTER,1
FKN00GL90621,8,1,1,2023-11-12 05:48:46+05:30,2024-01-27 05:44:46+05:30,SCOOTER,1
FKN00GL109724,7,5,1,2023-11-19 03:29:46+05:30,2024-01-21 01:31:46+05:30,CAR,1
FKN00GL16636,7,5,1,2023-12-01 04:03:46+05:30,2024-03-14 09:09:46+05:30,MOTOR CYCLE,1
FKN00GL22726,7,5,1,2023-11-17 05:10:46+05:30,2024-01-18 05:04:46+05:30,SCOOTER,1
FKN00GL6530,7,5,2,2023-12-27 10:34:46+05:30,2024-03-16 10:33:46+05:30,SCOOTER,1
FKN00GL0147,7,4,3,2023-11-15 07:54:46+05:30,2024-03-16 10:32:46+05:30,GOODS AUTO,1
FKN00GL10011,7,4,1,2023-11-16 05:32:46+05:30,2024-01-30 08:48:46+05:30,MOTOR CYCLE,1
FKN00GL9606,7,4,3,2023-11-22 03:43:46+05:30,2024-01-20 02:43:46+05:30,CAR,1
FKN00GL9775,7,4,1,2023-12-07 03:32:46+05:30,2024-01-31 03:26:46+05:30,CAR,1
FKN00GL0166,7,3,2,2023-11-28 03:05:46+05:30,2024-01-25 03:13:46+05:30,SCOOTER,1
FKN00GL0636,7,3,1,2024-01-12 03:50:46+05:30,2024-03-15 05:43:46+05:30,SCOOTER,1
FKN00GL0923,7,3,1,2023-12-27 10:26:46+05:30,2024-03-15 05:50:46+05:30,SCOOTER,1
FKN00GL10031,7,3,1,2023-11-22 04:51:46+05:30,2024-01-24 09:26:46+05:30,MOTOR CYCLE,1
FKN00GL102677,7,3,1,2023-11-23 04:27:46+05:30,2024-01-30 04:38:46+05:30,SCOOTER,1
FKN00GL10599,7,3,2,2023-12-12 04:44:46+05:30,2024-03-10 00:50:46+05:30,LGV,1
FKN00GL11683,7,3,1,2024-01-04 06:18:46+05:30,2024-01-25 04:34:46+05:30,SCOOTER,1
FKN00GL118168,7,3,1,2023-12-05 04:11:46+05:30,2023-12-30 04:00:46+05:30,CAR,1
FKN00GL1301,7,3,2,2023-11-30 06:36:46+05:30,2024-01-14 09:57:46+05:30,SCOOTER,1
FKN00GL14101,7,3,1,2023-12-06 05:14:46+05:30,2024-01-24 10:32:46+05:30,SCOOTER,1
FKN00GL16746,7,3,2,2023-12-03 03:07:46+05:30,2024-01-13 13:42:46+05:30,SCHOOL VEHICLE,1
FKN00GL17864,7,3,1,2023-11-15 07:50:46+05:30,2024-01-12 09:26:46+05:30,SCOOTER,1
FKN00GL2906,7,3,1,2023-12-11 02:41:46+05:30,2024-01-23 03:13:46+05:30,CAR,1
FKN00GL3531,7,3,1,2023-12-06 08:11:46+05:30,2024-03-12 04:35:46+05:30,SCOOTER,1
FKN00GL41714,7,3,3,2023-11-16 01:16:46+05:30,2023-12-26 12:10:46+05:30,CAR,1
FKN00GL5761,7,3,1,2023-11-17 09:31:46+05:30,2024-03-12 08:45:46+05:30,SCOOTER,1
FKN00GL6094,7,3,2,2023-11-16 05:13:46+05:30,2024-01-25 03:24:46+05:30,SCOOTER,1
FKN00GL76597,7,3,1,2023-12-20 10:00:46+05:30,2024-01-30 04:39:46+05:30,SCOOTER,1
