dispatch_rank,cluster_key,cluster_label,cluster_label_display,zone_name,final_risk_band,future_risk_band,priority_band,priority_score,probability_of_escalation,predicted_next_week_ccs_score,current_week_ccs_proxy_score,predicted_delta_score,predicted_delta_pct,recommended_patrol_count,tow_required,tow_reason,recommended_time_window,recommended_day_name,recommended_shift,enforcement_action,forecast_recommendation,road_class,geometry_source,dominant_vehicle_type,records_week,weekly_growth_pct,validation_uncertainty,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,vdi,tvs,resurgence_score,persistence_score,criticality_factor,context_multiplier,layer_b_priority_boost,layer_b_alert_flag,nearby_sensitive_poi_count,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,road_node_distance_m,road_node_degree,road_node_betweenness,source_pressure_score,source_pressure_norm,spillover_out_score,spillover_in_score,spillover_total_score,propagation_radius_m,network_pagerank,network_component_id,network_component_size,neighbor_count,in_neighbor_count,out_neighbor_count,influence_asymmetry,network_vulnerability_score,dispatch_notes,lat,lon
1,20,BTP082 - KR Market Junction,BTP082 - KR Market Junction (Cluster 20),BTP082 - KR Market Junction (Cluster 20),Watch,Watch,Watch,28.033448924472076,0.8562091588973999,19.424060487333545,6.27551821240869,13.148542274924855,209.52121924896664,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,SCOOTER,21,-0.9382352941148876,0.0,,,0.0,0.0,0.0,0.0,1.7888997701831628,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=19.42 | esc_prob=0.86 | priority=28.0 | patrols=1 | tow=no | window=07:00-10:00,12.965108344385026,77.57599985347593
2,16,BTP063 - Siddalingaiah Circle,BTP063 - Siddalingaiah Circle (Cluster 16),BTP063 - Siddalingaiah Circle (Cluster 16),Watch,Watch,Watch,27.96097294444261,0.9891905387242635,18.194143044747918,2.099771414197633,16.09437163055028,766.4820805761591,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,CAR,5,-0.8837209302120066,0.0,,,0.0,0.0,0.0,0.0,1.5543260044971603,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=18.19 | esc_prob=0.99 | priority=28.0 | patrols=1 | tow=no | window=07:00-10:00,12.971356912928758,77.59757005382586
3,55,BTP108 - Tagore Park Junction,BTP108 - Tagore Park Junction (Cluster 55),BTP108 - Tagore Park Junction (Cluster 55),Watch,Watch,Watch,27.189330460264216,0.971916953722636,22.349791713929758,2.349791713929755,20.0,851.1392679158323,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,SCOOTER,2,-0.9565217391096408,0.0,,,0.0,0.0,0.0,0.0,1.4055338926314465,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=22.35 | esc_prob=0.97 | priority=27.2 | patrols=1 | tow=no | window=07:00-10:00,12.94463117718121,77.57114230436243
4,290,POLICE_STATION::Kodigehalli,POLICE_STATION::Kodigehalli (Cluster 290),POLICE_STATION::Kodigehalli (Cluster 290),High,High,Watch,26.8007574931382,0.0,77.41736589673712,97.41736589673712,-20.0,-20.53022047526392,1,False,No tow required,07:00-10:00,All Days,Morning,Targeted patrol + close monitoring,Targeted enforcement + tow readiness,secondary,osmnx,SCOOTER,128,17.285714283244896,0.0,,,0.0,0.0,0.0,0.0,1.396111347228788,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=77.42 | esc_prob=0.00 | priority=26.8 | patrols=1 | tow=no | window=07:00-10:00,13.071124075555556,77.58794889925926
5,17,"BTP016 - 5th Main Road, RPC Layout","BTP016 - 5th Main Road, RPC Layout (Cluster 17)","BTP016 - 5th Main Road, RPC Layout (Cluster 17)",Watch,Watch,Watch,26.604451766626468,0.995726486047109,17.85423242271047,2.704332647154745,15.149899775555726,560.2084412911629,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,SCOOTER,6,-0.9785714285679336,0.0,,,0.0,0.0,0.0,0.0,1.3934797122126097,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=17.85 | esc_prob=1.00 | priority=26.6 | patrols=1 | tow=no | window=07:00-10:00,12.966594891041227,77.53792556985502
6,347,"BTP148 - 17th Main, Doopanahalli Bus Stop","BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 347)","BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 347)",Watch,Watch,Watch,25.909916215402546,0.8562091588973999,23.289356021123847,3.289356021123848,20.0,608.0217484967328,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,CAR,4,-0.9649122806932902,0.0,,,0.0,0.0,0.0,0.0,1.4862979888020365,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=23.29 | esc_prob=0.86 | priority=25.9 | patrols=1 | tow=no | window=07:00-10:00,12.970347181732814,77.6449368902705
7,257,"BTP189 - New Diagonal Road, Jayanagar","BTP189 - New Diagonal Road, Jayanagar (Cluster 257)","BTP189 - New Diagonal Road, Jayanagar (Cluster 257)",Watch,Watch,Watch,25.72495108380807,0.8562091588973999,20.406871765816817,1.2999060068309385,19.10696575898588,1469.8728711061444,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,SCOOTER,2,-0.9761904761788548,0.0,,,0.0,0.0,0.0,0.0,1.5507730946770515,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=20.41 | esc_prob=0.86 | priority=25.7 | patrols=1 | tow=no | window=07:00-10:00,12.928616228735631,77.58070089425287
8,252,POLICE_STATION::HSR Layout,POLICE_STATION::HSR Layout (Cluster 252),POLICE_STATION::HSR Layout (Cluster 252),Watch,Watch,Watch,25.61053339379583,0.971916953722636,7.487624392700477,3.416081885201991,4.071542507498486,119.18749734729684,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,MOTOR CYCLE,8,-0.7647058823304499,0.0,,,0.0,0.0,0.0,0.0,1.5772252587823958,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=7.49 | esc_prob=0.97 | priority=25.6 | patrols=1 | tow=no | window=07:00-10:00,12.9123418890625,77.635324209375
9,431,POLICE_STATION::Sheshadripuram,POLICE_STATION::Sheshadripuram (Cluster 431),POLICE_STATION::Sheshadripuram (Cluster 431),Watch,Watch,Watch,25.26539343029536,0.8389355738957723,16.068764945147436,5.519263228175184,10.549501716972252,191.1396735203152,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,secondary,osmnx,CAR,10,-0.7777777777604938,0.0,,,0.0,0.0,0.0,0.0,1.6070158447530345,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=16.07 | esc_prob=0.84 | priority=25.3 | patrols=1 | tow=no | window=07:00-10:00,12.986521382142858,77.57447258214286
10,560,"BTP189 - New Diagonal Road, Jayanagar","BTP189 - New Diagonal Road, Jayanagar (Cluster 560)","BTP189 - New Diagonal Road, Jayanagar (Cluster 560)",Watch,Watch,Watch,25.105244597265347,0.9036461710929872,11.047296309134977,4.449563128127389,6.597733181007586,148.27822394108784,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,CAR,8,-0.8730158730020157,0.0,,,0.0,0.0,0.0,0.0,1.576841696326421,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=11.05 | esc_prob=0.90 | priority=25.1 | patrols=1 | tow=no | window=07:00-10:00,12.92839076304348,77.58117681521739
11,658,"BTP189 - New Diagonal Road, Jayanagar","BTP189 - New Diagonal Road, Jayanagar (Cluster 658)","BTP189 - New Diagonal Road, Jayanagar (Cluster 658)",High,High,Watch,25.05079194380838,0.0,65.71647783289477,85.71647783289477,-20.0,-23.332736604923145,1,False,No tow required,07:00-10:00,All Days,Morning,Targeted patrol + close monitoring,Targeted enforcement + tow readiness,tertiary,osmnx,SCOOTER,128,62.9999999685,0.0,,,0.0,0.0,0.0,0.0,1.576841696326421,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=65.72 | esc_prob=0.00 | priority=25.1 | patrols=1 | tow=no | window=07:00-10:00,12.92831098,77.58075038615384
12,574,POLICE_STATION::Bellandur,POLICE_STATION::Bellandur (Cluster 574),POLICE_STATION::Bellandur (Cluster 574),Watch,Watch,Watch,25.045920798666344,0.8562091588973999,16.582541573872536,3.469603284243128,13.112938289629408,377.9376836943056,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,CAR,5,-0.799999999968,0.0,,,0.0,0.0,0.0,0.0,1.5494772708083733,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=16.58 | esc_prob=0.86 | priority=25.0 | patrols=1 | tow=no | window=07:00-10:00,12.920921317691231,77.66547566230389
13,56,BTP027 - Modi Bridge Junction,BTP027 - Modi Bridge Junction (Cluster 56),BTP027 - Modi Bridge Junction (Cluster 56),Watch,Watch,Watch,25.000672177324702,0.8601307272911072,22.14087499253534,3.0009707534963512,19.13990423903899,637.7904286591828,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,tertiary,osmnx,SCOOTER,4,-0.984251968500062,0.0,,,0.0,0.0,0.0,0.0,1.4070762443860467,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=22.14 | esc_prob=0.86 | priority=25.0 | patrols=1 | tow=no | window=07:00-10:00,12.999429728679246,77.5503542664151
14,595,BTP061 - Bhashyam Circle,BTP061 - Bhashyam Circle (Cluster 595),BTP061 - Bhashyam Circle (Cluster 595),Watch,Watch,Watch,24.942391270159018,0.9612634579340616,12.69738695045284,4.56063491134376,8.13675203910908,178.41270339544707,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,residential,osmnx,SCOOTER,10,-0.8701298701185697,0.0,,,0.0,0.0,0.0,0.0,1.3930392230330402,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=12.70 | esc_prob=0.96 | priority=24.9 | patrols=1 | tow=no | window=07:00-10:00,12.985420964536376,77.5537002098882
15,323,BTP096 - Gali Anjaneya Temple,BTP096 - Gali Anjaneya Temple (Cluster 323),BTP096 - Gali Anjaneya Temple (Cluster 323),Watch,Watch,Watch,24.89810520885971,0.9891905387242635,18.172176093970133,2.84075671592552,15.331419378044613,539.6949089902153,1,False,No tow required,07:00-10:00,All Days,Morning,Routine monitoring,Routine monitoring,trunk,osmnx,SCOOTER,4,-0.9529411764593771,0.0,,,0.0,0.0,0.0,0.0,1.2105682674002478,1.0,0.0,0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,forecast=18.17 | esc_prob=0.99 | priority=24.9 | patrols=1 | tow=no | window=07:00-10:00,12.953190102285712,77.54218438857143
